"TestID","FlowID","StepIndex","Priority","Category","Subcategory","EntryPoint","MenuPath","ControlOrButton","ScenarioType","SetupProfile","Preconditions","ActionSteps","ExpectedUIResult","ExpectedGameplayResult","ExpectedFinanceOrStateChange","ExpectedPersistenceResult","ExpectedNotificationOrFeedback","ExpectedSuccessOrProgress","NegativeOrEdgeCondition","PassCriteria","DebugOnly"
"LSOL-0011","F8-01","1","P0","Global Controls","Tablet Open Close","F8","F8 > LSOL OS","F8; Backspace; Esc","Smoke","FreshCareer","Mechanics are enabled and no other menu is open.","Press F8; inspect the title and footer; close with Backspace; reopen and close with Esc.","The tablet opens to LSOL OS with subtitle Company hub and the current balance chrome.","No gameplay state changes beyond menu visibility.","No finance change.","None.","Home footer uses the tablet navigation hint and closes cleanly.","None.","","Pass if the company hub opens on F8 and both close paths return to gameplay.","No"
"LSOL-0012","SAVE-01","1","P0","Save System","Saving Options Root","F7","F7 > Game Mod Control > Saving Options","Saving Options","Smoke","FreshCareer","Mechanics are enabled and F7 is open.","Open Saving Options from Game Mod Control.","Saving Options title and subtitle show the current active save label and rows Create new save, Load save, Delete save, Save game, and Back.","No gameplay state changes.","No finance change.","None.","Saving Options reflects the active named save or Default autosave.","None.","","Pass if the Saving Options page matches the current branch row set and active save label.","No"
"LSOL-0013","SAVE-02","1","P0","Save System","Create Named Save","F7","F7 > Saving Options > Create new save","Create save","Smoke","FreshCareer","A unique save name is available.","Open Create new save; enter a unique name; review Difficulty Settings; select Create save.","Difficulty Settings shows Starting balance, Economy preset, NPC weekly wages, Vehicle fuel, Cargo weight power, Cargo damage, Industry price mechanic, Licensing system, Corridor restriction, Reputation system, Office garage limit, NPC limit at office, NPC route limit, Create save, and Back.","A new named save is created and activated.","Balance is set to the selected starting balance and the world resets for the new save.","The active save path switches to the new LSOLSaves slot.","Created save {SaveName}.","Fresh-save success progress is reset or initialized for the new slot.","","Pass if a new named save can be created from the current setup page and becomes active immediately.","No"
"LSOL-0014","SAVE-03","1","P0","Save System","Save Named Game","F7","F7 > Saving Options","Save game","Persistence","OfficeOwner","A named save is active and contains visible unsaved changes.","Open Saving Options; select Save game.","Saving Options remains stable and the active save label stays unchanged.","Current state is written to the active named save.","No new finance change occurs beyond existing gameplay state.","The active named save file updates on disk.","Saved {SaveName}.","None.","","Pass if Save game writes the active named slot without changing the current state.","No"
"LSOL-0015","SAVE-04","1","P0","Save System","Load Named Game","F7","F7 > Saving Options > Load save","Load save","Persistence","OfficeOwner","At least two named saves exist with visibly different balance or asset state.","Open Load save; select a different slot.","Load save shows the slot list and then returns to Saving Options after the load.","The selected save replaces the current world state.","Balance, assets, and owned-state values switch to the selected slot snapshot.","The selected slot becomes the active save path.","Loaded save {SaveName}.","Saved success progress from the loaded slot becomes visible again.","","Pass if the selected slot fully replaces the current session and becomes the active named save.","No"
"LSOL-0016","WORLD-01","1","P0","World Interaction","Office Marker","Office Marker","World > Office Marker","E","Smoke","OfficeOwner","Player is within office interaction range.","Walk into an office marker; wait for the prompt; press E.","Prompt reads Press E to manage {OfficeName} and the Office menu opens.","Office management becomes available for the targeted office.","No immediate finance change.","None.","Prompt and office menu target the same office.","None.","","Pass if the prompt appears only in range and E opens the correct office menu.","No"
"LSOL-0017","WORLD-02","1","P0","World Interaction","Apartment Marker","Apartment Marker","World > Apartment Marker","E","Smoke","ApartmentOwner","Player is within apartment exterior interaction range.","Walk into an apartment marker; wait for the prompt; press E.","Prompt reads Press E to manage {ApartmentName} and the Apartment menu opens.","Apartment management becomes available for the targeted apartment.","No immediate finance change.","None.","Prompt and apartment menu target the same apartment.","None.","","Pass if the prompt appears only in range and E opens the correct apartment menu.","No"
"LSOL-0018","WORLD-03","1","P0","World Interaction","Bank Marker","Bank Marker","World > Bank Marker","E","Smoke","FreshCareer","Player is within bank interaction range and no other menu is open.","Walk into a bank marker; wait for the prompt; press E.","Prompt reads Press E to review financing at {BankName} and the Bank menu opens with that bank title.","Bank financing UI becomes available for the targeted bank.","No immediate finance change.","None.","Bank prompt and bank menu use the current bank display name.","None.","","Pass if the prompt appears only in range and E opens the correct bank menu.","No"
"LSOL-0019","WORLD-04","1","P0","World Interaction","Industry Marker","Industry Marker","World > Industry Marker","E","Smoke","FreshCareer","Player is within industry interaction range.","Walk into a nearby industry marker; wait for the prompt; press E.","Prompt reads Press E to open the industry tablet and the Industry app opens for the targeted site.","Industry operations become available for the in-range site.","No immediate finance change.","None.","Industry tablet opens for the nearest in-range site only.","None.","","Pass if the prompt appears only in range and E opens the correct industry tablet.","No"
"LSOL-0020","WORLD-05","1","P0","World Interaction","Barrier Gate","World Gate","World > Nearby Gate or Door","E","Smoke","FreshCareer","Player is near a supported barrier model.","Approach a nearby gate or door; wait for the prompt; press the gate interact key.","Prompt reads Press E to open nearby gate/door.","The nearby supported barrier opens by animation or heading change.","No finance change.","None.","Prompt disappears after leaving interaction range.","None.","","Pass if the gate prompt appears only in range and the barrier opens when interacted with.","No"
"LSOL-0021","WORLD-06","1","P0","World Interaction","Commercial Dealership Marker","Commercial Dealership Marker","World > Commercial Dealership","E","Smoke","FleetOwner","Player is within dealership interaction range.","Approach the commercial dealership marker; wait for the prompt; press E.","Prompt reads Press E to browse the commercial dealership and the Vehicle & Cargo Type dealership flow opens.","Commercial vehicle acquisition UI becomes available.","No immediate finance change.","None.","The dealership opens in commercial acquisition context rather than office spawn context.","None.","","Pass if the in-range prompt appears and E opens the commercial dealership flow.","No"
"LSOL-0022","WORLD-07","1","P0","World Interaction","Personal Dealership Marker","Personal Dealership Marker","World > Personal Vehicle Dealership","E","Smoke","ApartmentOwner","Player is within personal dealership interaction range.","Approach the personal dealership marker; wait for the prompt; press E.","Prompt reads Press E to browse the personal vehicle dealership and the Vehicle Dealership menu opens.","Personal vehicle purchase UI becomes available.","No immediate finance change.","None.","The dealership opens in personal vehicle context rather than commercial context.","None.","","Pass if the in-range prompt appears and E opens the personal dealership menu.","No"
"LSOL-0023","FLOW-DELIV","1","P0","End To End","Fresh Save To First Delivery","F7","F7 > Saving Options > Create new save","Create save","Regression","FreshCareer","No named save is active yet.","Create a fresh named save for the delivery smoke flow.","New save creation completes and returns control to gameplay with an active named slot.","The player starts a clean career session ready for manual hauling.","Balance equals the selected starting balance.","The named save becomes active.","Created save {SaveName}.","Successes are at fresh-save baseline.","","Pass if the flow starts from a clean named save.","No"
"LSOL-0024","FLOW-DELIV","2","P0","End To End","Fresh Save To First Delivery","Industry Marker","Industry > Load Product and Unload Cargo","Load Product; Unload Cargo","Gameplay","FreshCareer","A valid cargo vehicle is available and a compatible origin and destination are reachable.","Approach a valid origin site; open the industry tablet; load a compatible product; drive to a valid destination; unload the cargo successfully.","Industry pages show valid load or unload actions and complete without signal loss.","A full manual logistics loop completes with cargo transferred from one site to another.","Company balance changes by the actual delivery profit or cost logic.","If saved now, updated cargo and site stock values persist.","Load or unload status messages appear according to the performed action.","First Delivery progress advances and may unlock immediately if this is the first successful delivery.","","Pass if one full manual delivery can be completed from load to unload on the current branch.","No"
"LSOL-0025","FLOW-DELIV","3","P0","End To End","Fresh Save To First Delivery","F8","F8 > Budget > Cash Summary","Budget tile","Regression","FreshCareer","At least one successful delivery has just completed in the same save.","Open F8; open Budget; inspect Cash Summary and Income Breakdown.","Budget shows current balance, recent net flow, and income data rather than only empty states.","No additional gameplay event occurs.","The completed delivery is reflected in current balance and recent income values.","Budget views reflect the saved delivery after save/load.","Budget pages open normally with updated values.","Success-related delivery progress remains visible in the same save.","","Pass if Budget reflects the completed delivery financially.","No"
"LSOL-0026","FLOW-DELIV","4","P0","End To End","Fresh Save To First Delivery","F8","F8 > Successes","Successes tile","Regression","FreshCareer","At least one successful delivery has just completed in the same save.","Open F8; open Successes; inspect First Delivery and related progress rows.","Successes shows progress and locked or unlocked states with progress text.","No additional gameplay event occurs.","No finance change.","Unlocked or progressed success state persists if the save is written and reloaded.","If this was the first delivery, the unlock toast reads Success unlocked: First Delivery.","First Delivery is unlocked or its progress text advances.","","Pass if Successes reflects the completed delivery with current progress or unlock state.","No"
"LSOL-0027","FLOW-CONTINUE","1","P0","End To End","Office Vehicle Save Load Continue","Office Marker","World > Office Menu","Rent Office or Purchase Office","Regression","OfficeOwner","FreshCareer has enough funds for office access.","Open an office; rent or purchase it; activate it if needed.","Office menu transitions into accessible office actions.","The company gains commercial office access.","Balance decreases by rent or purchase amount.","Office access persists after save/load.","Rented {Office}. or Purchased {Office}.; Activated {Office}.","First Office and possibly Company Footprint progress can advance.","","Pass if the flow establishes an active office on the current save.","No"
"LSOL-0028","FLOW-CONTINUE","2","P0","End To End","Office Vehicle Save Load Continue","Commercial Dealership Marker","World > Commercial Dealership","Purchase Vehicle or Rent Vehicle","Regression","FleetOwner","An active office exists.","Open the commercial dealership; acquire one valid company vehicle; verify it appears in Garage.","Commercial acquisition flow completes and Garage can show the asset.","The company gains a usable commercial vehicle.","Balance decreases by the selected acquisition cost.","Vehicle ownership or rental persists after save/load.","Purchase or rent success text appears for the selected asset.","Fleet Owner may unlock if this is the first owned vehicle.","","Pass if the acquired vehicle becomes available from the active office garage.","No"
"LSOL-0029","FLOW-CONTINUE","3","P0","End To End","Office Vehicle Save Load Continue","Industry Marker","Industry > Load Product and Unload Cargo","Load Product; Unload Cargo","Regression","FleetOwner","An office vehicle is available and a compatible route exists.","Retrieve the vehicle from Garage if needed; complete one manual delivery.","Relevant industry pages and garage flows remain stable through the full trip.","The acquired office vehicle is usable for cargo work.","Company balance changes by the completed delivery result.","Vehicle deployment, cargo state, and delivery result persist if saved.","Delivery-related status messages appear.","Delivery and fleet success progress can advance.","","Pass if the newly acquired office vehicle can complete a delivery successfully.","No"
"LSOL-0030","FLOW-CONTINUE","4","P0","End To End","Office Vehicle Save Load Continue","F7","F7 > Saving Options","Save game; Load save","Persistence","FleetOwner","The office and vehicle state from prior steps exist and are visible.","Save the active named game; leave or alter the scene; reload the same slot.","Saving Options remains stable and loading restores the selected slot.","The office, vehicle roster, and current company state are restored.","Balance and ownership state return to the saved snapshot.","Office access, fleet entries, and save metadata persist.","Saved {SaveName}.; Loaded save {SaveName}.","Any unlocked successes remain unlocked after reload.","","Pass if the saved slot restores the office and fleet state without corruption.","No"
"LSOL-0031","FLOW-CONTINUE","5","P0","End To End","Office Vehicle Save Load Continue","Office Menu or Industry Marker","Office > Garage or Industry > Statistics","Garage; Load Product; Unload Cargo","Regression","FleetOwner","The saved slot from the prior step has been reloaded successfully.","Reopen Garage or an industry page after reload; continue hauling or managing the same vehicle.","Menus reopen normally after reload with current saved state.","Gameplay can continue seamlessly after save/load.","Subsequent finance changes build from the restored balance and assets, not duplicated state.","Continued play can be saved again without new corruption.","Normal gameplay messages continue to appear after reload.","Ongoing success progress continues from the restored state.","","Pass if the player can continue using the restored office and vehicle without reinitialization bugs.","No"
"LSOL-0032","FLOW-LOAN","1","P1","End To End","Bank Loan Loop","Bank Marker","Bank > Weekly company financing offer","Loan amount; Repayment term; Confirm loan","Regression","LoanActive","No active loan exists and a bank is reachable.","Open a bank; adjust Loan amount and Repayment term; confirm the loan.","The bank offer page shows preview rows and then switches to the active-loan summary.","A company loan is created at the selected bank and term.","Balance increases by the selected principal.","Active-loan data persists after save/load.","Secured {Amount} from {Bank}. Weekly installment {Installment} for {Weeks} weeks.","No Debt Needed becomes permanently blocked after the first accepted loan.","","Pass if a loan can be accepted from the current bank offer UI and becomes active immediately.","No"
"LSOL-0033","FLOW-LOAN","2","P1","End To End","Bank Loan Loop","Gameplay","Weekly time progression","In-game time progression","Regression","LoanActive","An active company loan exists.","Advance in-game time through at least one due week.","Loan feedback appears during weekly processing and the Bank page updates accordingly.","The active loan remains in force and progresses toward repayment.","Balance decreases by the weekly installment amount.","Weeks paid and remaining balance persist after saving.","Paid weekly loan installment to {Bank}: {Amount}. {Remaining} remaining over {Weeks} week(s).","Loan history contributes to budget bills and repayment categories.","","Pass if weekly repayment processing occurs once per due week and updates the active loan.","No"
"LSOL-0034","FLOW-LOAN","3","P1","End To End","Bank Loan Loop","F7 and Bank Marker","F7 > Saving Options; Bank > Active company loan","Save game; Load save; Close","Persistence","LoanActive","An active loan with at least one repayment already processed exists.","Save the current named game; reload it; reopen any bank.","The bank opens directly into the Active company loan summary rather than an offer page.","The same loan continues after reload.","Remaining balance, weeks remaining, and next due week stay consistent with the saved snapshot.","Loan persistence survives save/load without duplicating payments.","Loaded save {SaveName}.","No Debt Needed stays locked or blocked after the earlier loan event.","","Pass if the active loan summary after reload exactly matches the saved loan state.","No"
"LSOL-0035","FLOW-NPC","1","P1","End To End","Office To NPC Delivery","Office Menu","Office > Hire NPC > Hire New NPC","Hire NPC","Regression","NpcCompany","An active office exists, route limit is above 0, and a compatible garage truck is available.","Open Office > Hire NPC; configure Route Slot, Route Enabled, Starting Point, Destination, Resource, Assigned Truck, Start Trigger, Destination Trigger, and Tier; confirm Hire NPC.","Hire New NPC shows all current selectors and the contract list gains a new entry after confirmation.","An NPC contract begins automated logistics work.","Upfront contract cost is deducted and future wages are scheduled.","NPC contract and route configuration persist after save/load.","Hired {Tier} NPC with {N} route(s).","First Employee progress advances; route-count successes may begin.","","Pass if a valid NPC contract can be created with the current menu stack and selectors.","No"
"LSOL-0036","FLOW-NPC","2","P1","End To End","Office To NPC Delivery","Gameplay","NPC runtime","Live route runtime","Regression","NpcCompany","A valid NPC contract is active.","Let the contract progress through travel, loading, delivery, and payroll windows.","Office UI and notifications remain stable while the route runs.","The NPC loads, delivers, and continues its route chain or returns to office according to current logic.","Balance changes through delivery income and weekly payroll deductions.","Route stats and payroll history persist if the save is written mid-cycle.","Runtime messages such as Preparing route, Loading cargo, Delivering {Commodity}, NPC payroll charged, and NPC unloaded {Tons}t {Commodity} at {Destination}. Earned {Amount}. appear as applicable.","Dispatcher, Logistics Manager, and Hands-Off Income progress can advance.","","Pass if a hired NPC completes deliveries and affects finances on the current branch.","No"
"LSOL-0037","FLOW-NPC","3","P1","End To End","Office To NPC Delivery","Office Menu","Office > Hire NPC > Manage NPC List","Modify NPC; Fire NPC","Regression","NpcCompany","At least one NPC contract exists.","Open Manage NPC List; modify one contract; then fire one contract.","Manage NPC List and NPC Contract action pages open and return cleanly.","Selected contract changes or is removed immediately.","No refund is implied by the UI for firing; payroll stops after removal.","Modified or removed contract state persists after save/load.","Updated NPC route chain to {N} route(s).; Fired NPC on route {Label}.","Dispatcher or route-count progress only changes according to the new live contract count.","","Pass if contract modification and firing both work and leave the roster in a clean state.","No"
"LSOL-0038","FLOW-MISSION","1","P1","End To End","Mission Accept Board","F8","F8 > Missions > Mission Detail","Accept Mission; Cancel Mission","Regression","MissionReady","Mission packs are loaded and at least one mission listing exists.","Open F8 > Missions; inspect the board; open a mission detail page; accept one mission; cancel it from the detail page on a separate run.","Special Missions board shows current listings, badges, and detail rows; detail page shows Availability, Description, Completion, and current action rows.","An accepted mission becomes the active mission; a cancelled mission returns the board to non-active state.","No mission reward is paid on cancel.","Mission availability and counts persist according to saved state.","Special mission accepted: {Name}.; Cancelled special mission: {Name}.","Mission-count successes do not advance on cancel.","","Pass if missions can be browsed, accepted, and cancelled from the tablet detail flow.","No"
"LSOL-0039","FLOW-MISSION","2","P1","End To End","Port Container Handling","F8 and Mission Runtime","F8 > Missions > Port Container Handling","Accept Mission; Interact","Regression","MissionReady","Port Container Handling is available on the current save.","Accept Port Container Handling; complete the handler-trailer objective chain using the mission prompts and Interact where required.","Mission detail and runtime helper prompts advance stage by stage.","The handler-container mission completes only when all current scripted stages are satisfied.","Reward is paid only on successful completion.","Completion count and cooldown persist after save/load.","Objective and helper text includes stage prompts such as Enter the dock handler, Pick up the container, Press Interact to load the container onto the trailer, and Deliver the container.","Special Contractor progress advances on a real completion.","","Pass if the current port mission can be completed end to end with its staged interact flow.","No"
"LSOL-0040","FLOW-MISSION","3","P1","End To End","Quarry Heavy Machinery","F8 and Mission Runtime","F8 > Missions > Quarry Heavy Machinery Haul","Accept Mission","Regression","MissionReady","Quarry Heavy Machinery Haul is available and corridor conditions are satisfied.","Accept Quarry Heavy Machinery Haul; complete trailer pickup, quarry delivery, and cleanup steps.","Mission detail and runtime objective text advance correctly through each stage.","The trailer-delivery mission completes only when the current objective chain is satisfied.","Reward is paid only on successful completion.","Completion count and cooldown persist after save/load.","Objective text progresses through Collect the heavy machinery trailer, Deliver heavy machinery to the quarry, and Clear the quarry area.","Special Contractor progress advances on a real completion.","Without the required corridor, the mission must stay unavailable instead.","Pass if the current quarry mission can be completed end to end on the current branch.","No"
"LSOL-0041","FLOW-MISSION","4","P1","End To End","Mission Reward Cooldown Persistence","F7 and F8","F7 > Saving Options; F8 > Missions","Save game; Load save","Persistence","MissionReady","A special mission has just been completed on the active named save.","Save the game after completion; reload the slot; reopen Missions.","Mission board shows updated badges, completion counts, and cooldown or unavailable detail rather than treating the mission as fresh.","Mission completion state remains applied after reload.","Reward is not paid twice and completion count does not duplicate.","Completion count, cooldown timing, and active-state cleanup persist correctly.","Loaded save {SaveName}.","Special mission count progress remains at the completed total after reload.","","Pass if mission completion data survives reload without double-counting or clearing cooldowns.","No"
"LSOL-0042","F7-03","1","P1","F7 Menu","Difficulty Locked State","F7","F7 > Difficulty Settings","Difficulty Settings","UI","FreshCareer","A named save is active and loaded.","Open F7 > Difficulty Settings on an active named save.","Difficulty Settings subtitle reads as locked by the active save and rows are visible but not mutable.","No gameplay rule changes occur while the page is locked.","No finance change.","The current difficulty flags remain unchanged across save/load.","Difficulty settings are sealed for the active save and remain read-only.","None.","","Pass if the current save cannot change sealed difficulty settings after creation or load.","No"
"LSOL-0043","F7-04","1","P1","F7 Menu","Starting Balance Selector","F7","F7 > Saving Options > Create new save > Difficulty Settings","Starting balance","UI","FreshCareer","Create new save input is open for a pending save name.","Cycle Starting balance left and right through several values before final creation.","The Starting balance row updates its displayed money value.","No world reset occurs until Create save is selected.","Pending starting balance value changes only within the setup page.","The chosen starting balance persists only if Create save is confirmed.","No immediate status message is required while cycling.","None.","","Pass if the selector cycles available starting balances and uses the selected value on save creation.","No"
"LSOL-0044","F7-05","1","P1","F7 Menu","Economy Preset Selector","F7","F7 > Difficulty Settings or New Save Setup","Economy preset","UI","FreshCareer","Difficulty settings are editable in New Save Setup or on an unlocked profile.","Cycle Economy preset left and right and inspect the detail text.","Economy preset caption changes between its supported values and the detail text updates.","Only the economy rule selection changes.","No immediate finance change until gameplay uses the economy rule.","Selected value persists with the created or saved slot when allowed.","No immediate status message is required while cycling.","None.","","Pass if Economy preset cycles correctly and persists when the save records it.","No"
"LSOL-0045","F7-06","1","P1","F7 Menu","NPC Weekly Wages Selector","F7","F7 > Difficulty Settings or New Save Setup","NPC weekly wages","UI","FreshCareer","Difficulty settings are editable in New Save Setup or on an unlocked profile.","Cycle NPC weekly wages left and right and inspect the detail text.","NPC weekly wages caption changes between its supported values and the detail text updates.","Only the weekly wage difficulty selection changes.","No immediate finance change until NPC payroll is processed.","Selected value persists with the created or saved slot when allowed.","No immediate status message is required while cycling.","None.","","Pass if the NPC wage selector cycles correctly and persists when the save records it.","No"
"LSOL-0046","F7-07","1","P1","F7 Menu","Vehicle Fuel Toggle","F7","F7 > Difficulty Settings or New Save Setup","Vehicle fuel","UI","FreshCareer","Difficulty settings are editable in New Save Setup or on an unlocked profile.","Toggle Vehicle fuel on; confirm the checkbox; toggle it off again.","Vehicle fuel checkbox reflects On and Off state changes.","Fuel difficulty behavior is enabled or disabled for later gameplay according to the current state.","No immediate finance change.","Selected state persists with the saved difficulty metadata when applicable.","No immediate status message is required while toggling.","None.","","Pass if Vehicle fuel toggles cleanly and the checkbox state matches the current rule.","No"
"LSOL-0047","F7-08","1","P1","F7 Menu","Cargo Weight Power Toggle","F7","F7 > Difficulty Settings or New Save Setup","Cargo weight power","UI","FreshCareer","Difficulty settings are editable in New Save Setup or on an unlocked profile.","Toggle Cargo weight power on; inspect the checkbox; toggle it off again.","Cargo weight power checkbox reflects On and Off state changes.","Loaded cargo power-loss behavior is enabled or disabled for later gameplay according to the current state.","No immediate finance change.","Selected state persists with the saved difficulty metadata when applicable.","No immediate status message is required while toggling.","None.","","Pass if Cargo weight power toggles cleanly and the checkbox state matches the current rule.","No"
"LSOL-0048","F7-09","1","P1","F7 Menu","Cargo Damage Toggle","F7","F7 > Difficulty Settings or New Save Setup","Cargo damage","UI","FreshCareer","Difficulty settings are editable in New Save Setup or on an unlocked profile.","Toggle Cargo damage on; inspect the checkbox; toggle it off again.","Cargo damage checkbox reflects On and Off state changes.","Cargo damage and loss behavior is enabled or disabled for later gameplay according to the current state.","No immediate finance change.","Selected state persists with the saved difficulty metadata when applicable.","No immediate status message is required while toggling.","None.","","Pass if Cargo damage toggles cleanly and the checkbox state matches the current rule.","No"
"LSOL-0049","F7-10","1","P1","F7 Menu","Industry Price Mechanic Toggle","F7","F7 > Difficulty Settings or New Save Setup","Industry price mechanic","UI","FreshCareer","Difficulty settings are editable in New Save Setup or on an unlocked profile.","Toggle Industry price mechanic on and off.","The checkbox state changes immediately.","Industry purchase pricing behavior follows the current setting in later site-purchase tests.","No immediate finance change.","Selected state persists with the saved difficulty metadata when applicable.","No immediate status message is required while toggling.","None.","","Pass if Industry price mechanic toggles cleanly and the checkbox state matches the current rule.","No"
